Cities,ID,Year,pop<1$,cons_health,pop_wateraccess,pop_toiletacess,ind_pauv_mon,ind_pauv_nonm,gini,educ_adult,pubhosp,consump/c,for_dentr.,connect_soneb,connec_pomp,#casesantep,#medprive,#clinpriv,#dispens,#hospital,#nursing room,#smi,decentralization,population,Density ,pubexp/c,decentralization2
Akpro-Misserete,58,2010,35,2,75,38,31,18,0,71,6,198988,86,13,80,1,0,2,1,4,0,2,0.6,94211,1193,5469,0.69
Akpro-Misserete,58,2011,38,6,76,41,34,24,0,59,6,237614,85,5,57,1,0,2,1,4,0,2,0.7,94211,1193,621,0.71
Avrankou,59,2010,31,2,64,33,21,16,0,70,8,223413,87,22,37,2,1,12,3,3,4,4,0.7,104259,1337,3225,0.53
Avrankou,59,2011,50,4,68,36,24,18,0,56,8,213321,82,7,51,2,1,12,3,3,4,4,0.6,104259,1337,1570,0.83
Bonou,60,2010,36,2,79,41,33,22,0,84,7,201318,79,7,82,1,6,0,2,4,4,0,0.2,38457,154,2411,0.41
Bonou,60,2011,47,4,77,40,40,22,0,81,7,212137,87,1,89,1,6,0,2,4,4,0,0.3,38457,154,21795,0.56
Dangbo,61,2010,34,2,72,37,35,56,0,72,8,240987,79,54,26,0,0,0,1,7,0,0,0.2,85654,575,2454,0.49
Dangbo,61,2011,56,7,66,36,33,51,0,65,8,214643,93,2,61,0,0,0,1,7,0,0,0.4,85654,575,1646,0.86
Porto-Novo,62,2010,4,2,76,39,19,6,0,84,0,412714,75,91,3,0,0,0,0,0,0,0,0.2,289880,5575,13769,0.64
Porto-Novo,62,2011,6,3,62,33,19,7,0,81,0,501619,89,33,1,0,0,0,0,0,0,0,0.5,289880,5575,707,0.93
Seme-Kpodji,63,2010,8,2,84,43,18,7,0,80,0,379147,78,27,22,0,0,0,0,0,0,0,0.7,149428,598,5942,0.65
Seme-Kpodji,63,2011,14,3,79,41,19,11,0,80,0,424533,54,32,3,0,0,0,0,0,0,0,0.3,149428,598,2407,0.32
Adja-Ouere,64,2010,55,2,98,50,24,38,0,55,17,166936,91,7,80,3,0,4,4,10,1,3,0.3,105680,192,2386,0.69
Adja-Ouere,64,2011,66,5,98,51,32,33,0,60,17,17182,91,6,26,3,0,4,4,10,1,3,0.7,105680,192,1351,0.97
Ifangni,65,2010,38,3,66,34,26,23,0,65,4,195175,78,12,64,1,1,2,2,1,0,1,0.5,92849,384,3625,0.70
Ifangni,65,2011,50,2,82,42,33,15,0,65,4,200746,99,6,62,1,1,2,2,1,0,1,0.3,92849,384,4184,0.83
Ketou,66,2010,46,1,87,44,34,30,0,53,3,19045,93,20,10,0,0,1,0,3,0,0,0.3,130324,73,2329,0.32
Ketou,66,2011,46,4,73,38,33,24,0,52,3,221914,92,6,37,0,0,1,0,3,0,0,0.5,130324,73,207,0.52
Pobe,67,2010,58,1,87,44,47,31,0,52,1,135979,91,26,61,0,0,2,0,1,0,0,0.3,107514,269,4150,0.58
Pobe,67,2011,53,5,75,40,45,42,0,54,1,212102,93,5,32,0,0,2,0,1,0,0,0.3,107514,269,4233,0.44
Sakete,68,2010,50,0,96,48,35,23,0,72,8,165301,94,21,62,1,1,1,0,7,1,1,0.4,91546,215,3050,0.30
Sakete,68,2011,70,3,89,46,36,23,0,69,8,158593,89,9,32,1,1,1,0,7,1,1,0.5,91546,215,2484,0.63
Abomey,69,2010,32,1,69,35,28,15,0,84,12,195204,88,64,20,1,3,13,1,10,2,0,0.3,101586,715,3365,0.52
Abomey,69,2011,57,6,72,39,30,21,0,77,12,20664,88,37,21,1,3,13,1,10,2,0,0.5,101586,715,1994,0.40
Agbangnizoun,70,2010,60,1,53,27,42,32,0,64,7,132995,57,22,70,0,0,2,6,1,1,9,0.1,71319,292,2797,0.48
Agbangnizoun,70,2011,71,3,55,29,43,17,0,63,7,159870,92,3,23,0,0,2,6,1,1,9,0.1,71319,292,2424,1.15
Bohicon,71,2010,55,2,80,41,38,11,0,74,3,163430,69,58,32,2,2,2,1,0,7,5,0.7,146648,1055,5572,1.00
Bohicon,71,2011,53,5,74,40,40,12,0,77,3,203902,85,40,21,2,2,2,1,0,7,5,0.6,146648,1055,6833,0.23
Cove,72,2010,74,2,49,26,46,13,0,81,3,84876,54,69,22,0,0,2,0,3,0,0,0.4,44658,85,4679,0.99
Cove,72,2011,58,3,90,46,55,15,0,50,3,200797,95,48,10,0,0,2,0,3,0,0,0.4,44658,85,5083,0.44
Djidja,73,2010,43,2,70,36,37,44,0,45,13,190676,86,14,80,2,0,5,0,11,14,1,0.4,109692,50,2635,0.73
Djidja,73,2011,73,5,71,38,38,37,0,61,13,147755,94,2,50,2,0,5,0,11,14,1,0.4,109692,50,4178,0.52
Ouinhi,74,2010,70,1,61,31,47,66,0,50,5,11775,88,0,93,0,0,0,1,4,1,2,0.3,49689,103,2097,0.62
Ouinhi,74,2011,78,4,72,38,44,36,0,55,5,140811,97,3,69,0,0,0,1,4,1,2,0.1,49689,103,6678,0.83
Zagnanado,75,2010,65,1,50,26,49,56,0,50,8,104749,63,24,91,1,0,0,2,5,1,1,0.2,112913,276,2235,0.52
Zagnanado,75,2011,86,3,51,27,49,44,0,59,8,139640,97,28,5,1,0,0,2,5,1,1,0.3,112913,276,1992,0.32
Za-Kpota,76,2010,68,1,51,26,47,33,0,73,12,107235,88,11,80,1,0,1,9,2,23,12,0.2,47663,64,3422,0.75
Za-Kpota,76,2011,82,7,32,19,46,43,0,42,12,127986,85,1,11,1,0,1,9,2,23,12,0.2,47663,64,5970,0.64
Zogbodomey,77,2010,73,2,80,41,46,42,0,65,0,107667,87,3,87,0,0,0,0,0,0,0,0.2,93801,114,1716,0.69
Zogbodomey,77,2011,69,3,95,49,41,33,0,45,0,142318,87,1,58,0,0,0,0,0,0,0,0.2,93801,114,4300,0.22
